ID,ФИО,Возраст,Пол,Группа,Город,Математика,Информатика,Физика,Посещаемость,Проект,Средний_балл,Стипендия
51,Морозова Диана Игоревна,23,Ж,ДА-402,Казань,92,80,68,76,98,84.5,Нет
52,Семенов Даниил Андреевич,24,М,ПМ-202,Екатеринбург,73,54,85,78,65,69.25,Нет
53,Попова Дарья Игоревна,18,Ж,ПМ-201,Казань,59,74,84,69,95,78.0,Нет
54,Петров Егор Павлович,22,М,ДА-402,Самара,48,63,93,86,74,69.5,Нет
55,Семенов Владислав Николаевич,23,М,ДА-402,Москва,67,69,88,84,76,75.0,Да
56,Новиков Иван Андреевич,23,М,ДА-402,Москва,69,71,82,85,96,79.5,Да
57,Семенов Кирилл Иванович,17,М,ДА-401,Ростов-на-Дону,81,92,41,65,91,76.25,Нет
58,Сидорова Диана Владимировна,19,Ж,ПИ-101,Екатеринбург,69,70,53,89,70,65.5,Нет
59,Лебедева Наталья Павловна,21,Ж,ДА-401,Екатеринбург,98,55,70,61,97,80.0,Нет
60,Попов Иван Дмитриевич,17,М,ПИ-101,Новосибирск,57,51,79,69,65,63.0,Нет
61,Новиков Даниил Дмитриевич,20,М,ДА-402,Пермь,61,99,63,70,88,77.75,Нет
62,Лебедев Илья Иванович,21,М,ПИ-102,Ростов-на-Дону,46,69,76,84,75,66.5,Нет
63,Петров Михаил Сергеевич,18,М,ИС-301,Уфа,83,57,90,96,100,82.5,Да
64,Попов Андрей Павлович,22,М,ПИ-102,Красноярск,86,71,40,86,81,69.5,Нет
65,Васильев Никита Владимирович,19,М,ДА-401,Казань,91,83,81,77,89,86.0,Нет
66,Новикова Виктория Николаевна,21,Ж,ИС-302,Новосибирск,98,55,57,88,65,68.75,Нет
67,Морозова Ксения Павловна,22,Ж,ПИ-101,Томск,99,70,51,91,63,70.75,Нет
68,Лебедева София Михайловна,21,Ж,ИС-301,Красноярск,45,83,100,72,55,70.75,Нет
69,Алексеев Егор Владимирович,20,М,ДА-402,Уфа,90,81,68,61,55,73.5,Нет
70,Смирнова Виктория Сергеевна,21,Ж,ИС-302,Томск,80,83,62,87,97,80.5,Да
71,Попова Вероника Владимировна,21,Ж,ИС-301,Екатеринбург,59,57,86,72,70,68.0,Нет
72,Алексеев Андрей Иванович,20,М,ПМ-202,Пермь,75,67,86,97,98,81.5,Да
73,Петрова Диана Сергеевна,21,Ж,ПМ-202,Нижний Новгород,56,69,40,94,58,55.75,Нет
74,Иванова Анна Игоревна,21,Ж,ПМ-201,Уфа,100,98,71,66,50,79.75,Нет
75,Новикова Полина Владимировна,22,Ж,ПМ-201,Москва,61,80,47,64,75,65.75,Нет
76,Петрова Ксения Александровна,19,Ж,ПМ-201,Ростов-на-Дону,64,55,55,67,85,64.75,Нет
77,Морозова Ксения Николаевна,20,Ж,ДА-401,Томск,73,69,95,97,77,78.5,Да
78,Морозова Ксения Александровна,18,Ж,ПМ-202,Уфа,58,66,82,65,60,66.5,Нет
79,Сидоров Андрей Дмитриевич,19,М,ПИ-101,Самара,73,94,78,90,68,78.25,Да
80,Смирнов Артем Андреевич,24,М,ПИ-102,Уфа,59,66,90,100,87,75.5,Да
81,Васильев Дмитрий Игоревич,20,М,ПМ-201,Екатеринбург,97,59,44,63,60,65.0,Нет
82,Морозова Вероника Николаевна,21,Ж,ДА-402,Санкт-Петербург,74,94,59,85,67,73.5,Нет
83,Новикова Мария Николаевна,17,Ж,ДА-401,Пермь,65,88,56,61,55,66.0,Нет
84,Волков Илья Николаевич,17,М,ИС-301,Ростов-на-Дону,47,98,88,71,80,78.25,Нет
85,Егорова София Ивановна,23,Ж,ДА-402,Санкт-Петербург,75,72,66,81,70,70.75,Нет
86,Семенов Максим Михайлович,23,М,ДА-402,Екатеринбург,87,75,92,95,52,76.5,Да
87,Петрова Дарья Андреевна,22,Ж,ПИ-102,Самара,100,82,92,60,92,91.5,Нет
88,Васильева Анна Сергеевна,22,Ж,ДА-402,Уфа,73,98,43,73,67,70.25,Нет
89,Егоров Артем Владимирович,24,М,ПИ-102,Москва,85,88,91,75,95,89.75,Нет
90,Кузнецов Андрей Александрович,23,М,ПИ-102,Новосибирск,98,57,69,67,91,78.75,Нет
91,Новиков Владислав Андреевич,21,М,ДА-401,Томск,75,65,69,95,59,67.0,Нет
92,Смирнова Наталья Николаевна,19,Ж,ПИ-102,Екатеринбург,94,100,94,86,71,89.75,Да
93,Семенова Анна Андреевна,21,Ж,ДА-402,Казань,73,84,70,82,71,74.5,Нет
94,Новикова Наталья Михайловна,20,Ж,ПМ-202,Ростов-на-Дону,69,64,94,86,52,69.75,Нет
95,Алексеева Полина Павловна,23,Ж,ПМ-201,Томск,47,58,72,97,71,62.0,Нет
96,Семенов Илья Владимирович,18,М,ДА-402,Москва,91,59,66,69,54,67.5,Нет
97,Лебедева София Михайловна,23,Ж,ПИ-102,Нижний Новгород,99,93,94,94,74,90.0,Да
98,Волкова Вероника Владимировна,17,Ж,ПИ-102,Новосибирск,85,93,98,78,64,85.0,Нет
99,Васильев Дмитрий Дмитриевич,24,М,ПМ-201,Пермь,64,51,42,80,100,64.25,Нет
100,Кузнецов Никита Михайлович,23,М,ПМ-201,Новосибирск,78,76,76,71,60,72.5,Нет
